,officer,date,age,weapon,outcome,assignment,latlng,id
224,Kamal Ahmad,2001-03-31,28,"(0, '')",0,Century,"(33.9857167, -118.2477516)",SH2032740
225,Keith Gibbons,2001-04-02,56,"(0, '')",0,Crescenta Valley,"(34.2215414, -118.2307484)",SH2033094
226,Jason Diplock,2001-04-03,29,"(2, '')",1,Unknown,"(34.1495807, -118.1361989)",SH2033090
227,Rick O'Neill Rector,2001-04-18,34,"(1, 'Knife')",1,Special Enforcement Bureau,"(33.8741773, -118.1501426)",SH2033946
228,Fray Lupian,2001-05-09,45,"(1, 'Gun')",1,Lost Hills,"(34.1355278, -118.6448505)",SH2035583
229,Mark Sunagawa,2001-05-13,29,"(1, 'Knife')",1,Lennox,"(33.923878, -118.3562955)",SH2035601
230,Clarence G. Gallegos,2001-06-21,38,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.3871821, -118.1122679)",SH2038321
231,Unknown,2001-07-16,25,"(2, '')",1,Unknown,"(34.095079, -118.3654722)",Unknown
232,Adan Torres,2001-07-31,28,"(0, '')",2,Century,"(33.9565353, -118.2564324)",SH2041496
233,Oscar Butao,2001-08-27,47,"(1, 'Knife')",1,Lakewood,"(33.9042891, -118.1581416)",SH2043906
234,Clarence G. Gallegos,2001-08-31,35,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.386609, -118.6003364)",SH2044547
235,Joseph Vasquez,2001-09-14,22,"(0, '')",1,Lennox,"(33.8887519, -118.3556677)",SH2045400
236,Sean A. Heieck,2001-10-06,30,"(1, 'Gun')",1,Industry,"(34.0517393, -117.9997044)",SH2047138
237,Brian Walker,2001-11-01,28,"(1, 'Gun')",1,Walnut,"(34.001156, -117.8105272)",SH2051750
238,Angelica Vargas,2001-11-10,46,"(0, '')",1,Century,"(34.3871821, -118.1122679)",SH2049707
239,Angelica Vargas,2001-11-10,38,"(0, '')",1,Century,"(34.3871821, -118.1122679)",SH2049707
240,Unknown,2001-11-12,26,"(2, '')",1,Unknown,"(33.9650713, -118.2224247)",Unknown
241,Nicholas Budge,2001-11-18,18,"(1, 'Gun')",2,Temple,"(34.0636116, -118.0841894)",SH2051739
242,Unknown,2001-12-08,26,"(2, '')",1,Unknown,"(34.041074, -118.2438032)",Unknown
243,Robert Leyba,2001-12-31,47,"(0, '')",0,East Los Angeles,"(34.0082446, -118.0998536)",SH2053430
244,James J. North,2002-01-01,19,"(1, 'Gun')",1,Century,"(33.9228312, -118.1846665)",SH2053327
245,Marion Tucker,2002-02-18,19,"(1, 'Gun')",1,Palmdale,"(34.5744044, -117.9651487)",SH2057715
246,Robert Guilbault,2002-04-06,46,"(1, 'Gun')",2,Special Enforcement Bureau,"(34.3871821, -118.1122679)",SH2060706
247,Marc Lucio,2002-04-16,27,"(0, '')",1,Pico Rivera,"(33.9866064, -118.059857)",SH2061419
248,Richard McKaig,2002-04-28,26,"(1, 'Gun')",1,Century,"(33.9323272, -118.201821)",SH2062117
249,Michael Austin,2002-04-29,42,"(1, 'Axe')",1,Carson,"(33.8197949, -118.280773)",SH2062537
250,Unknown,2002-05-14,19,"(1, 'Gun')",2,Lennox,"(33.9381914, -118.3624527)",SH2063089
251,Robert Leyba,2002-05-31,24,"(1, 'Gun')",2,Temple,"(33.9971015, -118.1717376)",SH2064761
252,John Detreville,2002-06-14,29,"(1, 'Knife')",1,San Dimas,"(34.1065978, -117.8891746)",SH2065694
253,Regan Fitzgerald,2002-08-02,18,"(1, 'Gun')",0,Lennox,"(33.9175785, -118.29157)",SH2068762
254,Regan Fitzgerald,2002-08-02,21,"(1, 'Gun')",2,Lennox,"(33.9175785, -118.29157)",SH2068762
255,Gregory Kelly,2002-08-23,21,"(1, 'Gun')",1,Lancaster,"(34.6605082, -118.1033834)",SH2070458
256,John MacDonald,2002-09-01,32,"(1, 'Gun')",1,Century,"(33.9293382, -118.2390503)",SH2070675
257,Gerald Berry,2002-09-25,34,"(0, '')",0,Cerritos,"(33.8764495, -118.0358992)",SH2073206
258,Neil Thomas,2002-10-06,29,"(1, 'Gun')",0,Norwalk,"(33.9431113, -118.0464478)",SH2073636
259,Jason Bowley,2002-11-10,23,"(1, 'Gun')",1,Carson,"(33.8582436, -118.2660083)",SH2078688
260,Rick Manes,2002-11-20,40,"(0, '')",1,Littlerock,"(34.5395537, -117.9657353)",SH2076232
261,Regan Fitzgerald,2002-11-26,20,"(0, '')",2,Lennox,"(33.8771579, -118.3363406)",SH2076559
262,Unknown,2002-12-09,45,"(2, '')",1,Unknown,"(34.3871821, -118.1122679)",Unknown
263,Unknown,2002-12-14,44,"(2, '')",1,Unknown,"(34.0804873, -118.089666)",Unknown
264,Unknown,2003-01-07,19,"(1, 'Gun')",1,Temple,"(34.0358335, -118.0367225)",SH2079492
265,Sean Carrion,2003-01-25,63,"(1, 'Gun')",1,Compton,"(33.9168337, -118.3074187)",SH2080656
266,Allen Dollens,2003-01-28,25,"(1, 'Gun')",1,Safe Streets Bureau,"(33.8959318, -118.2029335)",SH2081149
267,Allen Dollens,2003-01-28,23,"(1, 'Gun')",1,Safe Streets Bureau,"(33.8959318, -118.2029335)",SH2081149
268,Unknown,2003-02-23,22,"(0, '')",1,Unknown,"(34.0699911, -118.027081)",Unknown
269,Unknown,2003-04-02,34,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.1118788, -118.0106834)",SH2086464
270,Max Fernandez /,2003-04-04,27,"(0, '')",1,Compton,"(33.8956976, -118.2290892)",SH2085362
271,Unknown,2003-05-01,19,"(0, '')",2,Unknown,"(33.9904655, -118.255505)",SH2087112
272,Unknown,2003-05-01,20,"(0, '')",1,Unknown,"(33.9904655, -118.255505)",SH2087112
273,Brian Bishop,2003-05-08,29,"(0, '')",1,Norwalk,"(33.9271369, -118.0307305)",SH2087436
274,Anthony Baudino,2003-05-20,22,"(1, 'Gun')",2,Lennox,"(33.9211795, -118.291835)",SH2088731
275,Anthony Baudino,2003-05-20,20,"(1, 'Gun')",0,Lennox,"(33.9211795, -118.291835)",SH2088731
276,Steven Velasquez,2003-05-21,32,"(0, '')",0,East Los Angeles,"(33.9957861, -118.1484056)",SH2088921
277,Anthony Bowie,2003-05-27,27,"(1, 'Gun')",2,Compton,"(33.8968357, -118.2339022)",SH2088917
278,Unknown,2003-06-09,33,"(2, '')",1,Unknown,"(34.0789546, -117.7569403)",Unknown
279,Julio Martinez,2003-06-17,20,"(1, 'Gun')",0,Century,"(33.8550868, -118.1968493)",SH2090991
280,Joseph Valencia,2003-07-08,39,"(1, 'metal pipe')",1,Unknown,"(33.886637, -118.2523751)",SH2093009
281,Jack Demelo,2003-08-09,52,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.5730586, -117.7971027)",SH2095119
282,Robert Heins,2003-08-20,18,"(1, 'Gun')",1,Safe Streets Bureau,"(34.5614185, -118.0667775)",SH2099405
283,Terrence Bell,2003-08-22,19,"(0, '')",1,Transit Services Bureau,"(33.9852247, -118.2564744)",SH2101474
284,William Zollo,2003-08-24,23,"(0, '')",1,Century,"(33.9185063, -118.2291886)",SH2099172
285,Unknown,2003-09-02,41,"(2, '')",1,Unknown,"(34.090071, -117.9579885)",Unknown
286,Unknown,2003-10-09,19,"(2, '')",1,Unknown,"(34.0814068, -117.9801149)",Unknown
287,Joseph Valencia,2003-10-18,20,"(0, '')",0,Compton,"(33.8978801, -118.2420951)",SH2101485
288,Troy Ewing,2003-11-11,33,"(0, '')",2,Narco/COMNET,"(34.125001, -117.9932686)",SH2103454
289,Troy Ewing,2003-11-11,27,"(0, '')",2,Narco/COMNET,"(34.125001, -117.9932686)",SH2103454
290,Thomas Mayberry,2003-11-13,18,"(1, 'Gun')",1,Safe Streets Bureau,"(33.9320039, -118.1933083)",SH2103334
291,Scott Gage,2003-11-13,26,"(1, 'Gun')",1,Compton,"(33.8963719, -118.1956526)",SH2104168
292,Bobby Lyons,2003-12-17,32,"(0, '')",2,Major Crimes Bureau,"(34.057505, -117.9118819)",SH2105975
293,Unknown,2004-01-05,22,"(1, 'Gun')",1,Compton,"(33.9093535, -118.208869)",SH2108825
294,Unknown,2004-01-05,24,"(1, 'Gun')",1,Compton,"(33.9093535, -118.208869)",SH2108825
295,Mark Wood,2004-01-21,21,"(1, 'Gun')",0,Santa Clarita Valley,"(34.4206666, -118.5641539)",SH2107430
296,Mark Wood,2004-01-21,20,"(1, 'Gun')",0,Santa Clarita Valley,"(34.4206666, -118.5641539)",SH2107430
297,Regan Fitzgerald,2004-02-02,33,"(1, 'Gun')",1,Lennox,"(33.9469864, -118.308971)",SH2108254
298,James Beamon,2004-02-03,37,"(1, 'Gun')",2,Industry,"(34.0164779, -117.9112123)",SH2086434
299,Timothy Alsky,2004-02-06,28,"(1, 'Gun')",2,Carson,"(33.8983538, -118.2106084)",SH2108758
300,Noe Garcia,2004-02-23,18,"(0, '')",0,Century,"(34.0255335, -118.332635)",SH2110176
301,Salvador Munoz,2004-02-27,24,"(0, '')",0,Operation Safe Streets Bureau,"(33.9189984, -118.0925966)",SH2111823
302,Salvador Munoz,2004-02-27,27,"(1, 'Gun')",2,Operation Safe Streets Bureau,"(33.9189984, -118.0925966)",SH2111823
303,Michael Mileski,2004-03-05,56,"(0, '')",0,Unknown,"(33.9036228, -118.0873538)",SH2112508
304,Michael Mileski,2004-03-05,49,"(1, 'Pellet Gun')",1,Unknown,"(33.9036228, -118.0873538)",SH2112508
305,Gerald Plent,2004-03-16,34,"(1, 'Gun')",0,Special Enforcement Bureau,"(34.0743011, -117.9390025)",SH2113634
306,Mark Schultz,2004-03-18,26,"(1, 'Gun')",2,Century - Gang Enforcement Team (GET),"(33.89224859999999, -118.2600631)",SH2114392
307,Tina Kelley,2004-03-29,39,"(0, '')",2,Transit Services Bureau,"(34.072424, -118.0996166)",SH2114412
308,Kevin Berger,2004-03-31,31,"(1, 'Gun')",1,Lomita,"(33.8426616, -118.2989274)",SH2114924
309,Daniel Dail,2004-04-09,25,"(1, 'Gun')",1,Transit Services Bureau,"(33.925057, -118.2932456)",SH2114941
310,Donald Wyman,2004-04-20,39,"(0, '')",2,Santa Clarita Valley - Career Offender Burglary Robbery Apprehension Team,"(34.4113695, -118.55764)",SH2116540
311,Carlos Jaen,2004-04-21,22,"(1, 'Gun ')",2,Transit Services Bureau,"(33.8319466, -118.2726726)",SH2118458
312,Anthony Willis,2004-04-23,43,"(0, '')",1,Compton,"(33.8963758, -118.225022)",SH2116212
313,Dennis Missel,2004-04-24,22,"(1, 'Gun ')",2,Century,"(33.9351343, -118.2379839)",SH2116404
314,Christopher Deaville,2004-05-05,63,"(1, 'Knife')",1,Lancaster,"(34.70063, -118.1205068)",SH2117965
315,Steven Lespron,2004-05-05,25,"(1, 'Gun')",1,Lennox,"(33.9440985, -118.2962315)",SH2117436
316,Richard Conley,2004-05-20,22,"(1, 'Gun')",2,Century,"(33.9145087, -118.2049413)",SH2119005
317,Neil Kimball,2004-06-08,Unknown,"(1, 'Gun')",0,Century,"(33.9096333, -118.2164055)",SH2120423
318,Neil Kimball,2004-06-08,Unknown,"(1, 'Gun')",0,Century,"(33.9096333, -118.2164055)",SH2120423
319,Michael Arruda,2004-06-09,51,"(1, 'Pellet Gun')",1,Industry,"(34.3871821, -118.1122679)",SH2121392
320,Michael Arruda,2004-06-09,35,"(1, 'Gun ')",1,Industry,"(34.3871821, -118.1122679)",SH2121392
321,Joseph Valencia,2004-07-12,24,"(1, 'Gun')",0,Compton,"(33.8836254, -118.2232224)",SH2130216
322,David Joyce,2004-07-18,27,"(0, '')",2,Lakewood,"(33.8405916, -118.1611317)",SH2123975
323,Unknown,2004-07-19,19,"(2, '')",1,Unknown,"(34.0748641, -118.0907211)",Unknown
324,James Ponsford,2004-08-01,21,"(0, '')",2,Century,"(33.9135697, -118.1899607)",SH2124993
325,Anthony Geisbauer,2004-08-13,24,"(1, 'Gun')",1,Century,"(34.0009288, -118.2424495)",SH2126128
326,Luis  Ortiz,2004-08-19,23,"(1, 'Gun')",1,Safe Streets Bureau,"(34.0010943, -118.2431005)",SH2126728
327,Richard Canfield,2004-08-24,29,"(1, 'board')",1,Pico Rivera,"(33.9820625, -118.1054067)",SH2126769
328,Anthony Forlano,2004-09-12,25,"(0, '')",2,Compton,"(33.8958665, -118.2441469)",SH2128169
329,Anthony Forlano,2004-11-23,28,"(1, 'Gun')",0,Compton,"(33.8924032, -118.2013694)",SH2133512
330,Robert Shaw,2004-12-10,Unknown,"(1, 'Gun')",0,San Dimas,"(34.1068056, -117.9075974)",SH2134904
331,Alan Bash,2005-01-05,48,"(1, 'Spear')",1,Temple,"(34.0367927, -118.0771309)",SH2136291
332,Armando Arevalo,2005-01-05,18,"(0, '')",0,Carson,"(33.8332489, -118.2217467)",SH2137140
333,Hugo Ramos,2005-01-23,23,"(1, 'Gun')",2,East Los Angeles,"(34.3871821, -118.1122679)",SH2137568
334,Robert Weltee,2005-01-23,74,"(1, 'Gun')",1,Lakewood,"(33.8698474, -118.1422486)",SH2138235
335,Carlos Lopez,2005-01-24,22,"(1, 'Gun')",1,Lennox,"(33.9183293, -118.2918464)",SH2138293
336,Froilan Dinco,2005-01-30,25,"(1, 'Knife, rake Deputy Efran Quintana recanted, said unarmed')",1,Carson,"(33.8049449, -118.263939)",SH2138282
337,Glenn Spruil,2005-01-31,30,"(1, 'Machete')",2,East Los Angeles,"(34.024553, -118.141402)",SH2138482
338,Robert Aceves,2005-02-02,20,"(0, '')",0,Lennox,"(33.9309774, -118.2903817)",SH2138491
339,Robert Aceves,2005-02-02,20,"(0, '')",0,Lennox,"(33.9309774, -118.2903817)",SH2138491
340,Scott Harper,2005-03-27,19,"(0, '')",2,Transit Services Bureau,"(33.9078782, -118.2084841)",SH2142447
341,Philip Santisteven,2005-03-31,30,"(1, 'Gun')",1,Lakewood - Operation Safe Streets,"(33.8983925, -118.1175176)",SH2145049
342,Eric Metten,2005-04-01,19,"(1, 'Gun')",2,Palmdale,"(34.5809465, -118.0753693)",SH2144589
343,Henry Aguilar,2005-05-08,44,"(0, '')",2,Compton,"(34.0483836, -118.4544006)",SH2145843
344,Joshua Corrales,2005-05-29,27,"(1, 'Knife')",1,Century,"(33.9198771, -118.2103111)",SH2149480
345,Jeffrey Coates,2005-06-07,45,"(1, 'Gun')",2,Special Enforcement Bureau,"(34.081367, -118.1518672)",SH2148043
346,Rick Manes,2005-06-29,29,"(1, 'Gun')",1,Palmdale,"(34.5794526, -118.1287712)",SH2149573
347,Randall Slate,2005-06-29,44,"(1, 'Knife')",1,West Hollywood,"(34.0583038, -118.360214)",SH2149895
348,Noe Garcia,2005-07-07,29,"(1, 'Gun')",1,Century,"(33.9152894, -118.2709318)",SH2150710
349,Christopher Smelser,2005-07-15,20,"(1, 'Gun')",0,County Murder Task Force,"(33.9572578, -118.249646)",SH2150783
350,Stephen O'Neal,2005-08-08,49,"(0, '')",1,Lancaster,"(34.6932023, -118.1838878)",SH2152392
351,Frederick Morse,2005-08-13,23,"(1, 'Gun')",2,Century - Operation Safe Streets,"(33.9221378, -118.2342776)",SH2152827
352,Frederick Morse,2005-08-13,25,"(0, '')",0,Century - Operation Safe Streets,"(33.9221378, -118.2342776)",SH2152827
353,Jason Phillippi,2005-09-08,34,"(1, 'Gun')",2,Compton,"(33.9015594, -118.3596271)",SH2154541
354,Francisco Maldonado,2005-09-17,24,"(1, 'Gun')",2,Century,"(33.91980420000001, -118.2280546)",SH2155180
355,Jesse Melgoza,2005-09-23,18,"(1, 'Gun')",0,East Los Angeles,"(34.0487429, -118.190796)",SH2155758
356,Jesse Melgoza,2005-09-23,19,"(1, 'Gun')",2,East Los Angeles,"(34.0487429, -118.190796)",SH2155758
357,Roman Castillo,2005-10-14,25,"(1, 'Gun')",1,Gang Enforcement Team,"(34.7022977, -118.1359674)",SH2156973
358,Russell Helbing,2006-01-26,20,"(1, 'Gun')",0,Gang Enforcement Team,"(33.8954744, -118.2553442)",SH2163787
359,Russell Helbing,2006-01-26,21,"(1, 'Gun')",0,Gang Enforcement Team,"(33.8954744, -118.2553442)",SH2163787
360,Nader Chahine,2006-01-28,39,"(1, 'BB Gun')",0,Compton,"(33.911124, -118.2380464)",SH2164595
361,Jaime Juarez,2006-01-29,25,"(0, '')",0,Men's Central Jail,"(33.7865632, -118.2104954)",SH2163795
362,Jaime Juarez,2006-01-29,25,"(0, '')",0,Men's Central Jail,"(33.7865632, -118.2104954)",SH2163795
363,Robert Erickson,2006-02-06,42,"(1, 'Pellet Gun')",1,Special Enforcement Bureau,"(34.0837425, -118.4121857)",SH2164739
364,Juan Chavez,2006-02-15,22,"(0, '')",0,Pico Rivera,"(34.0082546, -118.0832814)",SH2164888
365,Russell Helbing,2006-02-17,21,"(1, 'Gun')",2,Operation Safe Streets - Compton Gang Enforcement Team,"(33.8986164, -118.2525773)",SH2164948
366,Russell Helbing,2006-02-17,22,"(1, 'Gun')",1,Operation Safe Streets - Compton Gang Enforcement Team,"(33.8986164, -118.2525773)",SH2164948
367,George Creamer,2006-03-01,34,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0388642, -118.039844)",SH2165564
368,Robert Dean,2006-03-10,32,"(1, 'Gun')",2,Compton,"(33.9016306, -118.2020191)",SH2166138
369,James Delgado,2006-04-19,27,"(0, '')",2,Lakewood,"(33.8747522, -118.1425074)",SH2176533
370,Joseph Fender,2006-04-25,52,"(1, 'Gun')",2,Palmdale,"(34.6608712, -118.3971528)",SH2170359
371,Gonzalo Galvan,2006-05-01,28,"(1, 'Gun')",0,Lennox,"(33.9381912, -118.3613446)",SH2169418
372,Darell Edwards,2006-05-06,29,"(1, 'Gun')",0,Century,"(34.0207521, -118.3325965)",SH2169604
373,Unknown,2006-06-05,48,"(0, '')",2,Unknown,"(33.8080115, -118.2904558)",SH2172209
374,Rafael Cardenas,2006-06-13,27,"(0, '')",1,Century,"(33.9494852, -118.2534617)",SH2173534
375,Grant Roth,2006-07-21,43,"(1, 'Gun')",2,Palmdale,"(34.5776285, -118.1161033)",SH2176359
376,James Wheeler,2006-08-01,44,"(0, '')",1,Compton,"(33.9034093, -118.2511348)",SH2177347
377,David Joyce,2006-08-23,20,"(0, '')",2,Lakewood,"(33.8829359, -118.1383077)",SH2178604
378,Thomas Drake,2006-08-28,58,"(1, 'Gun')",1,Santa Clarita,"(34.8582435, -118.1623302)",SH2178932
379,Oscar Veloz,2006-09-07,27,"(1, 'Gun')",1,Century,"(33.9019845, -118.2322449)",SH2180613
380,Robert Leyba,2006-09-16,32,"(1, 'Pellet Gun')",2,Temple,"(34.0508902, -118.1067272)",SH2180053
381,Robert Risiglione,2006-10-15,30,"(1, 'Gun')",0,Compton - Operation Safe Streets,"(33.9023576, -118.2183727)",SH2181812
382,Grant Roth,2006-10-29,23,"(1, 'Gun')",1,Palmdale,"(34.5830046, -118.0686853)",SH2182693
383,Corey Morning,2006-10-31,38,"(1, 'Gun')",1,Cerritos,"(33.86861530000001, -118.0616487)",SH2182908
384,Enrique Godinez,2006-11-06,40,"(1, 'Gun')",1,East Los Angeles Station,"(34.042547, -118.1732588)",SH2183541
385,Steven Longan,2007-01-20,18,"(1, 'Gun')",2,Lennox - Community Impact Team,"(33.9658097, -118.2461019)",SH2188086
386,Unknown,2007-03-12,19,"(0, '')",2,West Hollywood - Narcotics Bureau,"(34.0301884, -118.4375256)",SH2190984
387,Stephen Glass,2007-03-15,51,"(1, 'Knives')",1,Carson,"(33.7641538, -118.2710687)",SH2191426
388,Daniel Welle,2007-03-25,23,"(0, '')",2,Lancaster,"(34.685576, -118.1490379)",SH2191846
389,Ronald DiGiovanni,2007-04-02,29,"(1, 'Gun')",1,Lennox - Community Impact Team,"(33.9384452, -118.3616008)",SH2192337
390,Arthur Perez,2007-04-14,25,"(1, 'Gun')",0,Lakewood - Operation Safe Streets,"(33.8062075, -118.1969881)",SH2192947
391,Raul Magadan,2007-04-22,49,"(1, 'Metal pipe, toy gun, knife')",2,Compton,"(33.9019708, -118.1872795)",SH2193328
392,Armando Arevalo,2007-05-11,30,"(1, 'blunt object')",1,Off duty,"(34.0132169, -118.1445833)",SH2194545
393,Armando Arevalo,2007-05-11,30,"(1, 'Barbed wire')",0,Off duty,"(34.0132169, -118.1445833)",SH2194545
394,David Howard,2007-05-12,19,"(1, 'Gun')",1,Lakewood,"(33.9025753, -118.2020846)",SH2194857
395,Ronald Navarrete,2007-05-14,19,"(1, 'Gun')",0,Compton - Operation Safe Streets,"(33.8827614, -118.2041272)",SH2194940
396,Ronald Navarrete,2007-05-14,36,"(1, 'Gun')",0,Compton - Operation Safe Streets,"(33.8827614, -118.2041272)",SH2194940
397,Luis Alva,2007-08-13,23,"(1, 'Gun')",1,East Los Angeles,"(34.05727340000001, -118.1834789)",SH2201446
398,Antonio Garcia,2007-10-23,26,"(0, '')",2,Century,"(33.9599586, -118.2039867)",SH2194885
399,Alexander Vallozzi,2007-10-24,21,"(1, 'Gun')",2,Century,"(33.9176966, -118.2390251)",SH2206548
400,Pablo Partida,2007-10-27,23,"(1, 'Gun')",0,Century,"(33.9164479, -118.3240834)",SH2206930
401,Darell Edwards,2007-10-29,23,"(1, 'Gun')",0,Century,"(33.9059162, -118.2740262)",SH2207388
402,Joel Flores,2007-11-09,20,"(1, 'Gun')",0,Safe Streets Bureau,"(34.0332342, -118.1858076)",SH2208192
403,Joel Flores,2007-11-09,24,"(0, '')",2,Safe Streets Bureau,"(34.0332342, -118.1858076)",SH2208192
404,Samuel Valente,2007-11-10,30,"(1, 'Gun')",1,Century,"(33.9870284, -118.2521211)",SH2208197
405,Unknown,2008-04-01,19,"(1, 'Knife')",2,Lennox - off duty,"(33.9097568, -118.3266069)",SH2217586
406,William Cordero,2008-04-12,21,"(1, 'Gun')",1,Operation Safe Streets,"(33.9530001, -118.2469826)",SH2218495
407,Raul Magadan,2008-04-29,18,"(1, 'Gun')",0,Compton - Community Impact Team,"(34.03923, -118.2633474)",SH2219217
408,Calvin Mah,2008-05-13,26,"(0, '')",1,Walnut,"(34.1360303, -118.028058)",SH2220365
409,Calvin Mah,2008-05-13,25,"(0, '')",2,Walnut,"(34.1360303, -118.028058)",SH2220365
410,Raul Ibarra,2008-06-26,26,"(0, '')",1,Compton,"(33.8964104, -118.2582597)",SH2222911
411,Edward Martinez,2008-07-14,22,"(0, '')",0,Century,"(33.8819526, -118.1686735)",SH2223922
412,Bryan Lamb,2008-07-23,34,"(0, '')",1,Unknown,"(33.9356846, -118.3600178)",SH2224639
413,Clarence G. Gallegos,2008-08-10,32,"(1, 'Gun')",1,Special Enforcement Bureau,"(33.9322068, -118.2138274)",SH2225821
414,Juan Alvarado,2008-08-19,24,"(1, 'Gun')",2,Major Crimes Bureau,"(33.9144098, -118.1414328)",SH2226579
415,William Bevans,2008-08-23,35,"(0, '')",0,Century,"(33.941166, -118.2145406)",SH2226571
416,Theodor Baljet,2008-08-26,23,"(1, 'Gun')",2,Lennox,"(33.9418545, -118.3177662)",SH2227267
417,Jason Phillippi,2008-09-30,25,"(1, 'Metal stake')",1,Special Enforcement Bureau,"(34.0673793, -118.0804929)",SH2229364
418,John Ybarra,2008-10-16,18,"(0, '')",2,Lakewood,"(33.9064611, -118.1032384)",Unknown
419,Julio Jove,2008-10-17,33,"(1, 'Concrete')",1,Century,"(33.9819535, -118.1861081)",SH2230378
420,Patricia Rines,2008-10-27,20,"(0, '')",1,Century,"(33.9162305, -118.2462268)",SH2231988
421,Darell Edwards,2008-11-17,30,"(0, '')",2,Century - off duty,"(34.3871821, -118.1122679)",SH2232297
422,Joseph Manfree,2008-11-30,18,"(1, 'Air pistol')",1,East Los Angeles,"(34.0453428, -118.1721561)",SH2233356
423,Anthony Paez,2008-12-19,19,"(0, '')",2,Palmdale,"(33.7880945, -118.1687485)",SH2235183
424,Levi Belville,2009-01-24,22,"(1, 'Gun')",1,Gang Enforcement Team,"(33.9076759, -118.2893994)",SH2236597
425,Roverto Valles,2009-02-04,30,"(0, '')",0,Temple City,"(34.0553863, -118.0850506)",SH2237358
426,Mat Taylor,2009-03-04,23,"(1, '')",2,Carson,"(33.8109274, -118.2719954)",SH2240336
427,Mario Contreras,2009-03-15,22,"(1, 'Baseball bat, knife')",1,Temple City,"(34.0742289, -118.0588789)",SH2239808
428,Eduardo Labayna,2009-03-19,54,"(0, '')",0,West Hollywood,"(34.0560614, -118.3428884)",SH2240121
429,Noah Corrales,2009-04-16,28,"(0, '')",0,Century,"(33.9164485, -118.3090482)",SH2241882
430,Noah Corrales,2009-04-16,25,"(1, 'Gun')",2,Century,"(33.9164485, -118.3090482)",SH2241882
431,Joshua Bardon,2009-04-26,29,"(1, '')",1,Century,"(33.9340287, -118.222806)",SH2242537
432,Eric Moreno,2009-04-26,18,"(1, 'Pellet Gun')",1,Compton,"(33.9018063, -118.2158995)",SH2242518
433,Anthony Paez,2009-05-03,18,"(0, '')",0,Palmdale - off duty,"(34.3871821, -118.1122679)",SH2242904
434,Casey Cheshier,2009-05-06,17,"(1, 'Plastic water gun')",2,Lennox,"(33.9284074, -118.3114667)",SH2243273
435,Alberto Hernandez,2009-05-24,21,"(0, '')",2,Compton,"(33.9034448, -118.2171901)",SH2243898
436,Sergio Reyes,2009-07-05,16,"(0, '')",1,"Operation Safe Streets Bureau, Gang Enforcement Team - Summer Enforcement Detail","(33.8887362, -118.208895)",SH2246245
437,Michael Carpenter,2009-07-10,22,"(0, '')",1,Lennox,"(33.9158543, -118.294882)",SH2246590
438,Chad Sessman,2009-07-10,23,"(1, 'Gun')",0,Century,"(33.9749437, -118.2461693)",SH2246663
439,Noel  Lopez,2009-07-11,23,"(1, 'Gun')",2,East Los Angeles,"(34.0225268, -118.1883171)",SH2246592
440,Unknown,2009-07-12,18,"(1, 'Gun')",2,Palmdale,"(34.5872553, -118.1097278)",SH2246631
441,Benjamin Alvarado,2009-07-24,20,"(0, '')",0,Lakewood,"(33.8702517, -118.1172292)",SH2249118
442,Benjamin Alvarado,2009-07-24,19,"(1, 'Gun')",2,Lakewood,"(33.8702517, -118.1172292)",SH2249118
443,Frank Alvarado,2009-07-25,29,"(1, 'Gun')",2,Operation Safe Streets,"(33.8767441, -118.1565513)",SH2247465
444,David Johnson,2009-08-01,57,"(1, 'Two meat cleavers')",1,Temple City,"(34.0768729, -118.0013254)",SH2247861
445,Daryl Gaunt,2009-08-01,58,"(0, '')",0,Special Enforcement Bureau,"(34.0367218, -118.1305257)",SH2247918
446,Raquel Gonzales,2009-08-07,23,"(1, 'Gun')",1,Century,"(33.9073749, -118.1971765)",SH2248403
447,Mat Taylor,2009-08-08,33,"(0, '')",1,Carson,"(33.815897, -118.2615529)",SH2249218
448,Tony Franklin,2009-08-12,21,"(0, '')",0,Century,"(33.9358262, -118.2068211)",SH2248852
449,Lennox,2009-08-30,40,"(1, 'Knife')",2,Twin Towers Correctional Facility - off duty,"(33.9716354, -118.0711209)",SH2249964
450,Kevin Brown,2009-09-14,36,"(0, '')",1,Lennox,"(33.925237, -118.297151)",SH2251370
451,Marcelo Campos,2009-09-19,17,"(1, 'Gun')",1,Operation Safe Streets,"(34.0492508, -118.2332421)",SH2251372
452,Jaime Juarez,2009-09-20,27,"(1, 'Gun')",1,Compton,"(33.8890183, -118.1916448)",SH2252404
453,David Contreras,2009-09-20,24,"(1, 'Gun')",1,Norwalk,"(33.9171315, -118.0134663)",SH2252396
454,David Salazar,2009-10-02,31,"(1, 'Knife')",1,San Dimas,"(34.1112764, -117.8960711)",SH2252199
455,Jeffrey Alvarado,2009-11-03,29,"(1, '')",1,Lennox,"(33.8818087, -118.3428741)",SH2254639
456,Rulon Green,2009-11-03,24,"(1, 'BB Gun')",0,Court Services West/LAX - off duty,"(33.7589787, -117.9900995)",SH2254517
