,officer,date,age,weapon,outcome,assignment,latlng,id
54,Morris,1993-06-04,Unknown,"(1, 'Gun')",1,Narcotics Bureau,"(34.0591544, -118.2454525)",SH0523032
55,Demilio,1993-06-04,Unknown,"(1, 'Gun')",1,Narcotics Bureau,"(34.0591544, -118.2454525)",SH0523032
56,Craig Husbands,1993-06-24,38,"(1, 'Gun')",1,Crescenta Valley - Narcotics,"(34.1903377, -118.1493451)",SH0523038
57,Craig Husbands,1993-06-24,34,"(1, 'Gun')",1,Crescenta Valley - Narcotics,"(34.1903377, -118.1493451)",SH0523038
58,Joseph O'Connor,1993-06-26,16,"(1, 'Gun')",1,Unknown,"(33.9485033, -118.3087006)",SH523044
59,Eliezer Vera,1993-07-04,18,"(1, 'Gun')",2,Lynwood,"(33.9295878, -118.2088138)",SH2556390
60,William Bartlett,1993-07-09,21,"(1, 'Gun')",2,Carson,"(33.9154925, -118.2674471)",SH0523045
61,Dennis Miller,1993-08-02,23,"(1, 'Gun ')",0,Industry Station,"(34.0337103, -117.9585854)",SH0523058
62,Dennis Miller,1993-08-02,23,"(1, 'Gun')",0,Industry Station,"(34.0337103, -117.9585854)",SH0523058
63,Edward G. Everett,1993-08-31,26,"(1, 'Knife')",0,Lennox,"(33.9221162, -118.3142278)",SH0523048
64,Edward G. Everett,1993-08-31,Unknown,"(0, '')",0,Lennox,"(33.9221162, -118.3142278)",SH0523048
65,Darren Keith Hager,1993-09-02,49,"(1, 'Gun')",0,Antelope Valley,"(34.6812208, -118.1503254)",SH0523151
66,Darren Keith Hager,1993-10-03,32,"(1, 'Gun')",0,Antelope Valley,"(34.6883924, -118.164015)",SH0523152
67,Darren Keith Hager,1993-10-03,18,"(1, 'Gun')",0,Antelope Valley,"(34.6883924, -118.164015)",SH0523152
68,Unknown,1993-11-07,18,"(1, 'Gun')",0,Century,"(33.8690066, -118.1713943)",SH0523148
69,Charles Prescott,1993-11-08,23,"(1, 'Gun')",0,Temple,"(34.0546654, -118.0951194)",SH0523055
70,Charles Prescott,1993-11-08,18,"(1, 'Gun')",0,Temple,"(34.0546654, -118.0951194)",SH0523055
71,Charles Prescott,1993-11-08,18-25,"(1, 'Gun')",1,Temple,"(34.0546654, -118.0951194)",SH0523055
72,James C. Bald,1993-11-09,21,"(1, 'Gun')",2,Operation Safe Streets,"(33.9188096, -118.2595026)",SH0523052
73,Arthur Escamillas,1993-11-15,24,"(1, 'Gun')",1,Century,"(33.9832848, -118.2564521)",SH0523041
74,Robert F. Windrim,1993-12-01,24,"(0, '')",0,Carson - Operation Safe Streets,"(33.8472864, -118.2379323)",SH0523150
