,geo
175,"(33.7649231, -118.3010184)"
176,"(34.0215966, -118.1517073)"
177,"(34.0387536, -118.0823213)"
178,"(34.0089242, -118.2228687)"
179,"(34.6106352, -118.2477453)"
180,"(33.945391, -118.3591412)"
181,"(33.8789068, -118.0769856)"
182,"(34.0559794, -118.1770584)"
183,"(34.0559794, -118.1770584)"
184,"(33.9022639, -118.0612153)"
185,"(33.9281759, -118.1295429)"
186,"(33.9612485, -118.2916045)"
187,"(34.0928472, -118.379064)"
188,"(34.0163163, -118.1446402)"
189,"(32.2676451, -109.231934)"
190,"(33.983307, -118.070586)"
191,"(34.0053248, -118.0731012)"
192,"(34.2111445, -118.2321557)"
193,"(33.9873833, -118.4540242)"
194,"(33.8261093, -118.1837781)"
195,"(34.0012138, -118.3332449)"
196,"(34.0321951, -118.1469571)"
197,"(34.085425, -118.0344978)"
198,"(33.91852, -118.202442)"
199,"(33.8548762, -118.2417708)"
200,"(33.8305075, -118.2777847)"
201,"(34.0767102, -118.0730452)"
202,"(33.9030102, -118.3206461)"
203,"(34.6867055, -118.1506442)"
204,"(33.9170775, -118.0699729)"
205,"(34.3871821, -118.1122679)"
206,"(34.3871821, -118.1122679)"
207,"(34.0801114, -118.0645854)"
208,"(34.1305487, -118.0693319)"
209,"(34.438523, -118.405587)"
210,"(33.8913705, -118.2938919)"
211,"(34.0954474, -118.055924)"
212,"(33.9878734, -118.2514767)"
213,"(33.8321281, -118.2961467)"
214,"(33.9855525, -118.2480734)"
215,"(33.9855864, -118.2473781)"
216,"(33.9892234, -118.2325504)"
217,"(33.9435929, -118.3087765)"
218,"(33.9346971, -118.3001151)"
219,"(33.9346971, -118.3001151)"
220,"(34.0190058, -118.0347181)"
221,"(33.9861428, -118.252122)"
222,"(33.9857167, -118.2477516)"
223,"(33.9857167, -118.2477516)"
224,"(33.9857167, -118.2477516)"
225,"(34.2215414, -118.2307484)"
226,"(34.1495807, -118.1361989)"
227,"(33.8741773, -118.1501426)"
228,"(34.1355278, -118.6448505)"
229,"(33.923878, -118.3562955)"
230,"(34.3871821, -118.1122679)"
231,"(34.095079, -118.3654722)"
232,"(33.9565353, -118.2564324)"
233,"(33.9042581, -118.1581144)"
234,"(34.3866051, -118.6003453)"
235,"(33.8887519, -118.3556677)"
236,"(34.0517393, -117.9997044)"
