,geo
750,"(33.9588047, -118.0507362)"
751,"(34.1029991, -118.0758684)"
752,"(34.3871821, -118.1122679)"
753,"(34.3871821, -118.1122679)"
754,"(33.9545238, -118.246732)"
755,"(33.90264860000001, -118.2165047)"
756,"(34.5816243, -118.1116424)"
757,"(33.9909681, -118.0899955)"
758,"(34.5774466, -118.0984249)"
759,"(33.9339574, -118.1823619)"
760,"(33.9310253, -118.2477881)"
761,"(34.0223958, -117.9119712)"
762,"(34.0626156, -117.9768539)"
763,"(34.2209973, -118.5186351)"
764,"(33.9102245, -118.2336242)"
765,"(33.8803905, -118.0797627)"
766,"(34.3760652, -118.5090542)"
767,"(33.9364755, -118.265182)"
768,"(33.8638835, -118.0724204)"
769,"(33.8854654, -118.2058806)"
770,"(33.9384838, -118.2967457)"
771,"(33.873172, -118.0726335)"
772,"(34.0336286, -118.1564733)"
773,"(34.3871821, -118.1122679)"
774,"(34.0337039, -118.0475706)"
775,"(34.0200036, -118.1424208)"
776,"(34.0613445, -118.0527997)"
777,"(34.0595733, -118.0642515)"
778,"(33.9727705, -118.0863938)"
779,"(33.8514174, -118.1331004)"
780,"(34.3871821, -118.1122679)"
781,"(33.9017988, -118.2000489)"
782,"(33.9017988, -118.2000489)"
783,"(33.9381994, -118.3569887)"
784,"(34.0235555, -118.1900207)"
785,"(34.0235555, -118.1900207)"
786,"(34.0235555, -118.1900207)"
787,"(33.902579, -118.2362764)"
788,"(34.0503079, -118.1870746)"
789,"(33.9105796, -118.2094867)"
790,"(34.3871821, -118.1122679)"
791,"(34.026785, -118.0352069)"
792,"(34.6848354, -118.192542)"
793,"(34.6963615, -118.137188)"
794,"(33.9702775, -118.2226663)"
795,"(34.5629868, -118.0568892)"
796,"(33.8883288, -118.2345589)"
797,"(33.8883288, -118.2345589)"
798,"(34.0086917, -118.2049338)"
799,"(34.0086917, -118.2049338)"
800,"(34.0086917, -118.2049338)"
801,"(33.9067911, -118.2070953)"
802,"(33.9307461, -118.1978187)"
803,"(33.9137373, -118.2698878)"
804,"(33.9309648, -118.337472)"
805,"(34.1927027, -118.3371348)"
806,"(34.5036784, -117.893287)"
807,"(33.8313093, -118.3040248)"
808,"(33.8313093, -118.3040248)"
809,"(34.0298052, -118.1436737)"
810,"(33.92463430000001, -118.2390083)"
811,"(34.0097516, -118.7993569)"
812,"(33.9752629, -118.3340834)"
813,"(33.91456400000001, -118.1688809)"
814,"(34.0268306, -118.1729445)"
815,"(34.0268306, -118.1729445)"
816,"(34.4319893, -118.5879439)"
817,"(33.9689656, -118.0733922)"
818,"(34.573708, -118.0844271)"
819,"(34.1312584, -118.3856752)"
820,"(34.6686882, -118.0750143)"
821,"(34.040907, -118.1762872)"
822,"(34.0082448, -118.0998536)"
823,"(34.0322678, -118.1874218)"
824,"(34.4158374, -118.5513449)"
825,"(34.2009763, -118.1884208)"
826,"(34.2009763, -118.1884208)"
827,"(34.1832549, -118.4469684)"
828,"(34.7046696, -118.1492055)"
829,"(33.9366161, -118.2959238)"
830,"(34.6743902, -118.162589)"
831,"(33.930592, -118.2159887)"
832,"(34.001926, -117.92801)"
833,"(34.7077311, -118.1418537)"
834,"(34.5790211, -118.0919785)"
835,"(34.5790211, -118.0919785)"
836,"(34.5790211, -118.0919785)"
837,"(34.6691956, -118.1567973)"
838,"(33.8923422, -118.2815885)"
839,"(33.8856649, -118.3247796)"
840,"(34.6977576, -118.1046587)"
841,"(34.0313894, -118.0083145)"
842,"(34.0133912, -118.1685596)"
843,"(33.9366536, -118.297083)"
844,"(33.89170319999999, -118.2030665)"
845,"(33.9754358, -118.0326913)"
846,"(34.0359226, -118.3669335)"
847,"(34.0359226, -118.3669335)"
848,"(33.903186, -118.1701429)"
849,"(33.8302832, -118.2919779)"
850,"(33.9382997, -118.2940063)"
851,"(33.9214169, -118.2319306)"
852,"(34.6912124, -118.191852)"
853,"(33.9170356, -118.0817528)"
854,"(33.9350462, -118.317779)"
855,"(33.9840992, -117.903909)"
856,"(33.9415994, -118.3534859)"
857,"(34.1873365, -118.1599916)"
858,"(33.8982803, -118.0885033)"
859,"(34.0362855, -118.1868678)"
860,"(33.9665541, -118.1764699)"
861,"(33.9237824, -117.9941256)"
862,"(33.9790125, -118.2539605)"
863,"(34.596909, -117.8325303)"
864,"(34.0336331, -117.9348418)"
865,"(34.0336331, -117.9348418)"
866,"(34.2952224, -118.4473188)"
867,"(33.8875641, -118.105908)"
868,"(34.5874888, -118.715368)"
869,"(34.0190131, -118.217366)"
870,"(34.0443733, -118.1732017)"
871,"(34.0443733, -118.1732017)"
872,"(34.5722593, -118.1254232)"
873,"(34.6893573, -118.1352186)"
874,"(34.8062424, -118.1537784)"
875,"(33.961488, -118.2822176)"
876,"(34.3721009, -118.570025)"
877,"(33.928135, -118.2526927)"
878,"(34.0003366, -118.0685825)"
879,"(34.052263, -118.090087)"
880,"(34.0150783, -118.1359752)"
881,"(34.0181831, -118.1477657)"
882,"(34.4401336, -118.2957846)"
883,"(34.0181831, -118.1477657)"
884,"(33.9232816, -118.2353998)"
885,"(33.9190513, -118.0548129)"
886,"(33.9467577, -118.1034922)"
887,"(33.8389648, -118.2215746)"
888,"(33.9625604, -118.2279386)"
889,"(34.3871821, -118.1122679)"
890,"(33.9061663, -118.0752209)"
891,"(33.9061663, -118.0752209)"
892,"(33.9204373, -118.0213188)"
893,"(33.9204373, -118.0213188)"
894,"(33.9204373, -118.0213188)"
895,"(33.8746802, -118.1513009)"
896,"(34.56709, -118.0064939)"
897,"(34.0133477, -117.9966299)"
898,"(34.0277871, -118.1696921)"
899,"(34.6898983, -118.1638779)"
900,"(33.892858, -118.2786981)"
901,"(33.9538791, -118.2430536)"
902,"(33.9382231, -118.3090478)"
903,"(34.6914718, -118.1353548)"
904,"(33.9294959, -118.2462691)"
905,"(33.8781056, -118.2207252)"
906,"(34.4266018, -118.5588922)"
907,"(34.0958872, -117.9253911)"
908,"(34.7043052, -118.0859635)"
909,"(33.9001107, -118.3091591)"
910,"(34.6029407, -118.385921)"
911,"(34.4127462, -118.5547791)"
912,"(34.0860517, -118.1782728)"
913,"(33.9834787, -118.1870573)"
914,"(33.8937976, -118.2601603)"
915,"(34.3871821, -118.1122679)"
